Institution,Course Title,Link,Upcoming Date,Duration,Training Mode,Full Fee,Funded Fee,About This Course,What You'll Learn,Minimum Entry Requirement,Type,Job Title,Company,Location,Employment Type,Salary,Job Description
EDUQUEST INTERNATIONAL INSTITUTE PTE. LTD.,PWM-Food Service: Food Safety Course Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2017501209,13 Jan 25,1-2 days,Full Time,$150.00,$75.00,"This course is only intended for the low wage workers in the PWM-Food Services Sector.

Food Safety Course Level 1 is a mandatory training program for all food and beverage staff working in SFA licensed food establishments and/or anyone interested to learn safe food preparation.

The Singapore Food Agency (SFA), together with SkillsFuture Singapore (SSG), have revised the Follow Food & Beverage Safety and Hygiene Policies and Procedures course (also known as Basic Food Hygiene Course) and renamed it as Food Safety Course Level 1 under the TSC name of Food Safety and Hygiene Level 1 with effect from 30 November 2020.","1. Practise good personal hygiene
2. Use safe ingredients
3. Handle food safely 
4. Store food safely
5. Maintain cleanliness of equipment and premises","- No formal qualification
- Participant should have the ability to converse, read & write in English.",Courses,,,,,,
AESTHETICAR PTE. LTD.,Food Safety Course Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022016432,13 Jan 25,1-2 days,Part Time,$150.00,$75.00,"At the end of the course, learners will be able to:
• LO1. Practise good personal hygiene before, during and after handling food
• LO2. Select and use safe ingredients
• LO3. Handle food safely
• LO4. Store food safely
• LO5. Maintain cleanliness of equipment and premises
• LO6: Adopt good workplace safety habits","This course aims to equip food handlers of both retail and non-retail food establishments with the knowledge and application skills to follow food safety and hygiene procedures and policies, as well as maintain the cleanliness and upkeep of premises. This is a mandatory course for chefs, cooks, kitchen helpers, food stall assistants and anyone who is involved in the preparation and handling of food, and anyone planning to work in F&B establishments. Learners certified competent will meet the licensing requirement to work as food handlers.","Entry Requirements
• At least 16 years old
• Able to speak, listen, write, and read basic English or Mandarin Chinese
• No prior work experience required",Courses,,,,,,
EFG TRAINING SERVICES PRIVATE LTD.,Apply Workplace Safety and Health in Process Plant,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022014672,13 Jan 25,1-2 days,Full Time and Part Time,$90.00,$45.00,"CE1 - Identify the roles and responsibilities under the Workplace Safety and Health Act
CE2 - Identify and prevent fire and explosion hazards at the workplace
CE3 - Comply with safe work practices and control measures for material handling
CE4 - Comply with safe work practices and control measures for mechanical and electrical    works
CE5 - Comply with safe work practices and control measures when working on specialized operations
CE6 - Comply with safe work practices and control measures when working at Heights
CE7 - Comply with safe work practices and control measures when working in a confined space",Apply Workplace Safety and Health in Process Plant is one of the skills that come under the  WSQ  Process Industry Framework. The module belongs to the system category under all process sectors for competency level 1.,"Participant must be able to read, speak and write in their medium of instruction and manipulate numbers at a proficiency level equal to Employability Skills System (ESS) Level 2",Courses,,,,,,
XPRIENZ PTE. LTD.,PWM-Food Services: Food Safety Course Level 1,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2018500503,13 Jan 25,1-2 days,Full Time,$150.00,$75.00,"This course is only for the low wage workers in the PWM-Food Services Sector.
On Completion of this unit, participants will have the knowledge and skills in following food & beverage safety and hygiene policies and procedures and be able to apply them at the workplace.
- Practising good personal hygiene
- Using safe ingredients
- Handling food safely
- Storing food safely
- Maintaining cleanliness of equipment and premises","CE1: Practise Good Personal Hygiene
CE2: Use Safe Ingredients
CE3: Handle Food Safely
CE4: Store Food Safely
CE5: Maintain Cleanliness of Equipment and Premises",,Courses,,,,,,
ASCENDO ACADEMY PTE. LTD.,PWM-Food Services: Food Safety Course (Level 1) - English,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2018500436,13 Jan 25,1-2 days,Part Time,$150.00,$75.00,Train Food Handlers to follow Food and Beverage Safety and Hygiene Policies and Procedures to ensure food safety,"This course is only for the low wage workers in the PWM-Food Services Sector.

1. Practise Good Personal Hygiene
2. Use Safe Ingredients
3. Handle Food Safely
4. Store Food Safely
5. Maintain cleanliness of utensils, equipment and storage areas",No Formal Qualification,Courses,,,,,,
BS TECHNOLOGY PTE LTD,WSQ Perform Rigger And Signalman Tasks,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022013376,13 Jan 25,3-5 days,Full Time,$230.00,$115.00,"The ‘Performing Rigger and Signalman Tasks’ Course is designed to build the knowledge, skills and attitudes of all lifting personnel to increase the standards of operations and increase safety awareness when performing lifting operations as a Rigger and a Signalman.
This course is intended to equip the participants with the understanding of rigging and signaling and the knowledge and skills to manoeuvre a load safely to its destination, in a much safer work environment.","The Generic Manufacturing Skills (GMS) WSQ framework aims to raise the
professionalism of the manufacturing industry by equipping the workforce with essential generic and portable skills to adapt and be resilient to challenges in the dynamic working environment. It allows employers to access a pipeline of skilled workforce, which provides a competitive advantage and enables organisation success. It also equips workers with
cross-cutting generic manufacturing skills to effectively contribute and progress within an organisation as well as promote mobility across manufacturing companies.","Learners are assumed to:
- Above 18 years of age
- Have a basic knowledge of the relevant sector of work
- Be able to listen and speak English at a proficiency level equivalent to the Employability Skills (ES) level 2
- Be able to read and write English at a proficiency level equivalent to ES level 2
- Be able to manipulate numbers at a proficiency level equivalent to ES level 2",Courses,,,,,,
BELLS INSTITUTE OF HIGHER LEARNING PTE. LTD.,Digital Transformation in the Era of 5G & AI,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2020504450,13 Jan 25,3-5 days,Part Time,"$1,770.00",$885.00,"Who Should Take the Courses?
Working Professional
Marketing Professional
Sales Professional
Managers & Team Lead
Business Owner
Social Media Manager
Admin & HR
Program Manager
Course Developer
Project Manager
Solutions Architect
Business Architect
Business Analyst
Artificial Intelligence Translator
…Anyone responsible for the growth of a business!
Build fully functional mobile apps by integrating MIT App Inventor with Open AI
Create a customised mobile app powered by ChatGPT
Create irresistible marketing copies, creative writings, code snippets with ChatGPT
Create high-quality images with artificial intelligence with DALL.E2
Turn your presentations into masterpieces with Tome AI
Revolutionise your video content with Pictory AI
Learn explicit ChatGPT prompt engineering","Learners will be able to:
Create Awareness of the main digital disruptors impacting the workplace
Understand GPT-3 and Chat GPT API
In-depth prompt engineering with ChatGPT
Analyse Cases studies on exceptional Chat-GPT applications
Explore lesser known capabilities of Chat-GPT like- translation, image captioning, summarization etc.
Create impressive AI-generated images
Generate AI-generated videos from texts and blogs
Add AI voiceover to videos
Work with Open AI API and Open AI Playground
Analyse the scope of AI implementation into businesses",,Courses,,,,,,
ASCENDO ACADEMY PTE. LTD.,PWM-Food Services: Food Safety Course (Level 1) - Chinese,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022011431,13 Jan 25,1-2 days,Part Time,$150.00,$75.00,Train Food Handlers to follow Food and Beverage Safety and Hygiene Policies and Procedures to ensure food safety,"This course is only for the low wage workers in the PWM-Food Services Sector.

1. Practise Good Personal Hygiene
2. Use Safe Ingredients
3. Handle Food Safely
4. Store Food Safely
5. Maintain cleanliness of utensils, equipment and storage areas",No Formal Qualification,Courses,,,,,,
BS TECHNOLOGY PTE LTD,WSQ Operate Scissor Lift,https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2022013282,13 Jan 25,1-2 days,Full Time,$250.00,$125.00,"The “Operate Scissor Lift” Course is aimed at providing individuals with the knowledge and skills to operate scissor lifts safely. At the end of the course, participants will be proficient in selection of appropriate scissor lifts, conducting *risk assessment and route checks, identification of hazards for scissor lift operations, basic scissor lift operations and reinstating scissors lift in a safe manner.

CE 1 Prepare to carry out scissor lift operations
CE 2 Carry out scissor lift operations
CE 3 Conduct post operation of scissor lift","The Generic Manufacturing Skills (GMS) WSQ framework aims to raise the professionalism of the manufacturing industry by equipping the workforce with essential generic and portable skills to adapt and be resilient to challenges in the dynamic working environment. It allows employers to access a pipeline of skilled workforce, which provides a competitive advantage and enables organisation success. It also equips workers with cross-cutting generic manufacturing skills to effectively contribute and progress within an organisation as well as promote mobility across manufacturing companies","Learners must be above 18 years of age and are assumed to:
• Have a basic knowledge of the relevant sector of work
• Be able to listen and speak English at a proficiency level equivalent to the Employability Skills (ES) level 3
• Be able to read and write English at a proficiency level equivalent to ES level 3
• Be able to manipulate numbers at a proficiency level equivalent to ES level 3; and
• Be medically fit to work at height",Courses,,,,,,
FOCUS LEARNING CENTRE PTE. LTD.,Comply with Workplace Safety and Health Policies and Procedures (SF),https://www.myskillsfuture.gov.sg/content/portal/en/training-exchange/course-directory/course-detail.html?courseReferenceNumber=TGS-2019502598,18 Jan 25,1-2 days,Full Time and Part Time,$150.00,$75.00,"At the end of the unit, participants will be able to:
1. Follow safe work practices and risk control procedures
2. Participate in workplace safety and health management activities
3. Follow workplace emergency response procedures","Workplace Safety and Health (WSH) is included as one of the employability skills. The generic occupational safety and health competencies described in this module is minimum competencies for the implementation of effective workplace safety and health management.
In order to ensure that the generic competencies are relevant to all industries and workplaces, they do not address specific hazards or workplace safety and health issues relating to particular industries or work processes.",,Courses,,,,,,
